2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/religion_12/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/sports-and-games_17/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/politics_48/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/music_14/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/fantasy_19/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/horror_31/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/young-adult_21/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/travel_2/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/paranormal_24/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/parenting_28/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/cultural_49/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/biography_36/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/christian-fiction_34/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/humor_30/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/academic_40/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/new-adult_20/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/historical_42/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/classics_6/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/science_22/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/self-help_41/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/mystery_3/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/business_35/index.html: missing name
